Planet,Distance
Kepler-930 b,905.00
Kepler-873 b,1397.00
Kepler-689 b,1044.00
Kepler-1381 b,1306.00
BD-10 3166 b,80.00
HATS-22 b,207.90
WASP-46 b,
WASP-100 b,
Kepler-440 b,261.00
Kepler-1111 b,1142.00
Kepler-281 c,
Kepler-1081 b,425.00
Kepler-143 b,
Kepler-143 c,
Kepler-269 c,
Kepler-1292 b,1406.00
K2-43 b,
Kepler-269 b,
Kepler-213 b,
Kepler-213 c,
Kepler-51 c,
Kepler-1537 b,503.00
ROXs 42 B b,135.00
Kepler-1037 b,451.00
Kepler-580 b,333.00
Kepler-51 d,
Kepler-409 b,
HD 152581 b,182.82
Kepler-10 b,173.00
Kepler-10 c,173.00
Kepler-335 c,
Kepler-335 b,
Kepler-218 d,
Kepler-899 b,1038.00
HD 60532 b,25.30
HD 60532 c,25.30
HD 1690 b,7.01
HD 75898 b,80.58
WASP-37 b,343.00
Kepler-965 b,618.00
Kepler-1065 c,1078.00
Kepler-1065 b,1078.00
K2-127 b,
HD 81040 b,32.56
Kepler-458 c,
HD 17092 b,
Kepler-1511 b,897.00
Kepler-1393 b,462.00
Kepler-697 b,1091.00
Kepler-8 b,1330.00
KIC 10001893 c,
KIC 10001893 b,
WASP-138 b,308.00
HD 40956 b,118.48
KIC 10001893 d,
Kepler-605 c,570.00
Kepler-605 b,570.00
Kepler-62 f,368.00
Kepler-863 b,1145.00
Kepler-145 b,
Kepler-145 c,
HIP 67537 b,112.60
HD 106315 c,
HD 106315 b,
Kepler-947 b,1188.00
Kepler-261 c,
Kepler-261 b,
WASP-157 b,
HATS-28 b,521.00
K2-222 b,
Kepler-1193 b,695.00
K2-196 b,
Kepler-1412 b,639.00
Kepler-311 c,
Kepler-311 b,
Kepler-233 b,
Kepler-233 c,
Kepler-367 b,
Kepler-367 c,
Kepler-58 d,
Kepler-1200 b,579.00
Kepler-1446 b,162.00
Kepler-24 b,1200.00
WASP-141 b,570.00
HD 33283 b,86.88
Kepler-94 c,
Kepler-658 b,341.00
WASP-64 b,350.00
MASCARA-1 b,188.70
Kepler-102 c,
Kepler-102 b,
Kepler-102 e,
Kepler-102 d,
Kepler-1152 b,184.00
Kepler-102 f,
Kepler-1632 b,584.00
Kepler-1186 b,1112.00
HD 1605 c,84.60
HD 1605 b,84.60
WASP-14 b,160.00
Kepler-1571 b,802.00
K2-176 b,
HD 142415 b,34.57
KELT-12 b,360.00
GJ 3293 c,15.77
CoRoT-17 b,920.00
GJ 3293 b,15.77
WASP-11 b,121.70
HD 38529 c,42.40
HD 38529 b,42.40
Kepler-613 b,864.00
Kepler-1232 b,740.00
Kepler-444 f,35.70
WASP-127 b,102.00
HD 219134 d,6.55
Kepler-1356 b,881.00
HD 238914 b,301.20
HD 219134 c,6.55
Kepler-1134 b,997.00
HD 69830 c,12.58
Kepler-178 b,
Kepler-178 c,
GJ 3293 e,15.77
Kepler-178 d,
Kepler-359 d,
OGLE-2015-BLG-0051L b,8200.00
WASP-88 b,
K2-188 b,
Kepler-444 c,35.70
K2-90 b,
K2-90 c,
K2-121 b,
Kepler-1399 b,1256.00
Kepler-34 b,1499.00
Kepler-518 b,324.00
Kepler-1595 b,841.00
K2-162 b,
Kepler-393 c,
HD 147513 b,12.87
HD 220842 b,62.50
Kepler-323 c,
HD 208897 b,64.68
Kepler-1472 b,1269.00
HD 216770 b,37.89
HD 104067 b,20.82
OGLE-TR-111 b,
Kepler-128 c,
K2-60 b,
WASP-47 d,200.00
WASP-47 e,200.00
HD 164604 b,37.98
Kepler-184 b,
HAT-P-57 b,303.00
HD 102195 b,28.98
Kepler-529 b,787.00
Kepler-1461 b,752.00
Kepler-69 b,
Kepler-523 b,270.00
Kepler-778 b,899.00
Kepler-1159 b,1238.00
Kepler-225 c,
Kepler-416 c,
K2-21 b,
K2-21 c,
HD 46375 b,33.41
Kepler-344 c,
Kepler-344 b,
Kepler-1132 b,940.00
Kepler-423 b,725.00
Kepler-882 b,525.00
Kepler-677 b,1180.00
Kepler-1296 b,631.00
HD 216536 b,
Kepler-160 b,
LkCa 15 b,
KIC 9663113 b,
Kepler-792 b,1205.00
GJ 1132 b,12.04
HD 143361 b,65.66
Kepler-756 b,852.00
HD 106906 b,91.83
Kepler-1016 c,1239.00
Kepler-1016 b,1239.00
Kepler-234 b,
Kepler-855 b,1043.00
WASP-91 b,150.72
UZ For b,
K2-203 b,
Kepler-272 d,
Kepler-1555 b,1382.00
Kepler-290 b,
Kepler-65 b,
Kepler-403 c,
Kepler-850 b,1535.00
Kepler-579 b,663.00
OGLE-2003-BLG-235L b,5800.00
Kepler-943 b,1239.00
HN Peg b,18.39
75 Cet b,81.50
HD 47186 c,37.84
Kepler-387 b,
Kepler-387 c,
Kepler-811 b,847.00
omi UMa b,56.31
Kepler-339 b,
TAP 26 b,147.00
Kepler-216 b,
Kepler-123 b,
Kepler-123 c,
K2-69 b,
HD 108863 b,138.50
Kepler-462 b,733.00
Kepler-1173 b,402.00
