Planet,Distance
K2-87 b,
Kepler-1416 b,807.00
Kepler-1541 b,414.00
OGLE-2012-BLG-0026L b,4019.00
Kepler-1025 b,716.00
Kepler-609 b,1143.00
K2-226 b,
Kepler-1582 b,112.00
Kepler-315 c,
Kepler-315 b,
OGLE-2013-BLG-0341L B b,1161.00
CT Cha b,165.00
Kepler-327 b,
Kepler-327 c,
Kepler-879 b,772.00
Kepler-229 d,
Kepler-229 c,
Kepler-229 b,
Kepler-1388 c,492.00
Kepler-1388 b,492.00
Kepler-1039 b,324.00
Kepler-1218 b,667.00
HD 148156 b,53.05
Kepler-1388 d,492.00
Kepler-1334 b,1047.00
HD 217786 b,54.80
Kepler-48 d,
Kepler-65 c,
Kepler-1156 b,759.00
HD 50499 b,47.26
ome Ser b,80.64
Kepler-997 b,470.00
Kepler-709 b,668.00
Kepler-402 e,
Kepler-925 b,623.00
Kepler-674 b,302.00
Kepler-561 b,667.00
Kepler-530 b,464.00
bet Pic b,19.28
Kepler-847 b,529.00
Kepler-1072 b,976.00
K2-138 d,183.00
K2-138 e,183.00
K2-138 f,183.00
Kepler-1485 b,550.00
K2-138 b,183.00
K2-138 c,183.00
Kepler-637 b,1575.00
Kepler-1325 b,955.00
GJ 1214 b,12.95
Kepler-680 b,1342.00
Kepler-299 b,
Kepler-299 c,
Kepler-830 b,1122.00
Kepler-299 d,
Kepler-299 e,
Kepler-372 d,
Kepler-1620 b,773.00
Kepler-731 b,1311.00
K2-186 b,
HD 86264 b,72.57
K2-232 b,129.97
WASP-74 b,120.00
Kepler-59 c,
Kepler-1010 b,610.00
Kepler-30 d,1400.00
Kepler-1392 b,1117.00
OGLE-2007-BLG-349L AB c,2760.00
Kepler-355 c,
Kepler-339 c,
Kepler-30 b,1400.00
Kepler-30 c,1400.00
Kepler-1382 b,730.00
Kepler-312 b,
K2-166 b,
HATS-15 b,689.00
HD 173416 b,134.95
Pr0211 b,
POTS-1 b,1200.00
MOA-2012-BLG-505L b,7210.00
K2-58 d,
Kepler-570 b,642.00
Kepler-130 d,
K2-193 b,
Kepler-130 b,
Kepler-130 c,
K2-58 b,
K2-58 c,
HAT-P-53 b,719.00
Kepler-774 b,1190.00
Kepler-808 b,321.00
Kepler-998 b,996.00
K2-25 b,
K2-17 b,
Kepler-520 c,492.00
Kepler-1166 b,648.00
Kepler-1309 b,845.00
gam 1 Leo b,38.52
HIP 79431 b,14.90
Kepler-1333 b,958.00
HD 180314 b,131.75
Kepler-293 c,
Kepler-402 b,
Kepler-268 b,
Kepler-268 c,
HD 145934 b,
HD 285507 b,42.43
Kepler-486 b,428.00
Kepler-402 c,
Kepler-512 b,531.00
Kepler-751 b,748.00
HD 37124 c,33.24
Kepler-1094 b,1371.00
HD 212301 b,52.72
Kepler-292 d,
K2-189 b,
K2-189 c,
Kepler-336 b,
Kepler-980 b,804.00
Kepler-1462 b,1368.00
HD 166724 b,42.99
Kepler-1313 b,187.00
PH1 b,1000.00
HAT-P-49 b,322.00
K2-37 d,
Kepler-815 b,1199.00
K2-37 c,
HAT-P-33 b,387.00
Kepler-934 b,603.00
WASP-59 b,125.00
Kepler-466 b,436.00
Kepler-1177 b,829.00
Kepler-1271 b,885.00
HATS-9 b,622.00
Kepler-292 f,
Kepler-1053 b,171.00
Kepler-275 c,
HD 19994 b,22.38
Kepler-553 c,725.00
Kepler-553 b,725.00
HD 72892 b,72.78
Kepler-957 b,749.00
K2-99 b,
WASP-136 b,164.00
HD 30856 b,121.07
Kepler-1418 b,499.00
Kepler-889 b,513.00
Kepler-617 b,150.00
Kepler-1236 b,1078.00
Kepler-1121 b,529.00
Kepler-452 b,
51 Peg b,15.36
HD 187085 b,44.98
HD 155233 b,75.13
Kepler-632 b,349.00
Kepler-619 b,1111.00
OGLE-2016-BLG-0613L AB b,3410.00
Kepler-975 b,404.00
Kepler-619 c,1111.00
HD 175167 b,67.02
K2-141 c,58.77
HIP 105854 b,84.60
Kepler-37 e,66.00
Kepler-1105 b,369.00
Kepler-472 b,302.00
CoRoT-9 b,460.00
CoRoT-26 b,1670.00
Kepler-42 b,38.70
Kepler-286 d,
Kepler-1298 b,498.00
Kepler-286 b,
Kepler-286 c,
HATS-30 b,339.00
HAT-P-34 b,257.00
HD 207832 c,55.31
HD 207832 b,55.31
Kepler-424 c,
Kepler-196 b,
Kepler-196 c,
K2-108 b,
Kepler-379 c,
Kepler-379 b,
Kepler-247 c,
Kepler-247 b,
Kepler-545 b,831.00
Kepler-54 d,
Kepler-247 d,
Kepler-221 d,
Kepler-437 b,417.00
Kepler-1564 b,872.00
HD 117207 b,33.01
OGLE-2013-BLG-0102L b,3040.00
CoRoT-14 b,1340.00
Kepler-1514 b,379.00
Kepler-219 c,
Kepler-389 b,
Kepler-389 c,
Kepler-219 d,
Kepler-1266 b,901.00
Kepler-968 c,312.00
Kepler-1276 b,587.00
Kepler-1507 b,342.00
Kepler-1008 b,299.00
Kepler-1546 b,994.00
HIP 8541 b,168.63
Kepler-164 c,
Kepler-164 b,
MOA-2016-BLG-227L b,6500.00
HD 2952 b,115.21
HD 141399 b,36.20
HD 141399 c,36.20
Kepler-1614 b,982.00
Kepler-92 d,
HD 141399 d,36.20
HD 141399 e,36.20
Qatar-3 b,
Kepler-1358 b,558.00
DH Tau b,140.00
Kepler-224 b,
Kepler-348 b,
Kepler-251 d,
Kepler-251 e,
Kepler-140 c,
HD 90156 b,22.09
WASP-94 B b,180.00
Kepler-1372 b,1161.00
Kepler-316 b,
CoRoT-6 b,
K2-88 b,
Kepler-1482 b,442.00
HD 102329 b,138.50
HD 181342 b,110.62
KELT-9 b,188.70
Kepler-1216 b,1124.00
Kepler-1029 b,422.00
Kepler-910 b,402.00
Kepler-277 b,
Kepler-475 b,280.00
K2-147 b,88.00
Kepler-585 b,604.00
Kepler-1032 b,607.00
Kepler-52 b,
GJ 536 b,10.03
Kepler-52 d,
Kepler-1524 b,506.00
HD 39091 b,18.21
WASP-34 b,120.00
KELT-18 b,311.00
Kepler-330 b,
Kepler-330 c,
WASP-6 b,
Kepler-210 c,
HD 95086 b,91.57
WASP-61 b,480.00
K2-46 b,
WASP-8 b,87.00
WASP-8 c,87.00
HATS-40 b,1431.00
HD 27442 b,18.24
PSR B1257+12 d,600.00
Kepler-712 b,944.00
Kepler-1643 b,414.00
Kepler-1006 b,496.00
Kepler-114 d,
Kepler-431 c,
MOA-2007-BLG-192L b,1000.00
Kepler-114 b,
Kepler-114 c,
K2-213 b,
Kepler-625 c,502.00
Kepler-1459 b,435.00
Kepler-777 b,383.00
