loc_rowid	pl_hostname	pl_discmethod	pl_pnum	pl_orbper	pl_orbpererr1	pl_orbpererr2	pl_orbperlim	st_dist	st_disterr1	st_disterr2	st_distlim	pl_facility
374	HD 145457	Radial Velocity	1	176.30000000	0.39000000	-0.39000000	0	126.10	10.63	-12.78	0	Subaru Telescope
375	HD 145934	Radial Velocity	1	2730.00000000	100.00000000	-100.00000000	0					W. M. Keck Observatory
376	HD 1461	Radial Velocity	2	5.77152000	0.00045000	-0.00045000	0	23.44	0.46	-0.48	0	W. M. Keck Observatory
377	HD 1461	Radial Velocity	2	13.50520000	0.00290000	-0.00290000	0	23.44	0.46	-0.48	0	La Silla Observatory
378	HD 147018	Radial Velocity	2	44.23600000	0.00800000	-0.00800000	0	42.96	1.59	-1.59	0	La Silla Observatory
379	HD 147018	Radial Velocity	2	1008.00000000	18.00000000	-18.00000000	0	42.96	1.59	-1.59	0	La Silla Observatory
380	HD 147379	Radial Velocity	1	86.54000000	0.07000000	-0.06000000	0	10.73	0.03	-0.03	0	Calar Alto Observatory
381	HD 147513	Radial Velocity	1	528.40000000	6.30000000	-6.30000000	0	12.87	0.14	-0.14	0	La Silla Observatory
382	HD 147873	Radial Velocity	2	116.59600000	0.02300000	-0.02300000	0	104.93	10.90	-10.90	0	Multiple Observatories
383	HD 147873	Radial Velocity	2	491.54000000	0.79000000	-0.79000000	0	104.93	10.90	-10.90	0	Multiple Observatories
384	HD 148156	Radial Velocity	1	1027.00000000	28.00000000	-28.00000000	0	53.05	2.75	-3.07	0	La Silla Observatory
385	HD 148427	Radial Velocity	1	331.50000000	3.00000000	-3.00000000	0	59.28	3.19	-3.58	0	Lick Observatory
386	HD 149026	Radial Velocity	1	2.87589000	0.00000200	-0.00000200	0	78.86	4.62	-5.24	0	Subaru Telescope
387	HD 149143	Radial Velocity	1	4.07200000	0.00700000	-0.00700000	0	63.49	4.04	-4.63	0	Haute-Provence Observatory
388	HD 1502	Radial Velocity	1	431.80000000	3.50000000	-3.50000000	0	167.50	25.26	-36.16	0	W. M. Keck Observatory
389	HD 150706	Radial Velocity	1	5894.00000000	5584.00000000	-1498.00000000	0	27.23	0.41	-0.42	0	Haute-Provence Observatory
390	HD 152079	Radial Velocity	1	2899.00000000	52.00000000	-52.00000000	0	83.33	10.56	-10.56	0	Las Campanas Observatory
391	HD 152581	Radial Velocity	1	689.00000000	13.00000000	-13.00000000	0	182.82	31.76	-48.67	0	W. M. Keck Observatory
392	HD 153950	Radial Velocity	1	499.39999000	3.60000000	-3.60000000	0	51.87	3.18	-3.63	0	La Silla Observatory
393	HD 154345	Radial Velocity	1	3341.55884000	93.00000000	-93.00000000	0	18.06	0.18	-0.18	0	W. M. Keck Observatory
394	HD 154672	Radial Velocity	1	163.94000000	0.01000000	-0.01000000	0	64.77	3.52	-3.52	0	Las Campanas Observatory
395	HD 154857	Radial Velocity	2	408.60001000	0.50000000	-0.50000000	0	68.54	4.02	-4.56	0	Anglo-Australian Telescope
396	HD 154857	Radial Velocity	2	3452.00000000	105.00000000	-105.00000000	0	68.54	4.02	-4.56	0	Anglo-Australian Telescope
397	HD 155233	Radial Velocity	1	818.80000000	12.10000000	-12.10000000	0	75.13	3.33	-3.33	0	Anglo-Australian Telescope
398	HD 155358	Radial Velocity	2	194.30000000	0.30000000	-0.30000000	0	43.00			0	McDonald Observatory
399	HD 155358	Radial Velocity	2	391.90000000	1.00000000	-1.00000000	0	43.00			0	McDonald Observatory
400	HD 156279	Radial Velocity	1	131.05000000	0.54000000	-0.54000000	0	35.37	0.76	-0.79	0	Haute-Provence Observatory
401	HD 156411	Radial Velocity	1	842.20000000	14.50000000	-14.50000000	0	55.10	2.41	-2.64	0	La Silla Observatory
402	HD 156668	Radial Velocity	1	4.64550000	0.00110000	-0.00110000	0	24.05	0.59	-0.62	0	W. M. Keck Observatory
403	HD 156846	Radial Velocity	1	359.51001000	0.09000000	-0.09000000	0	49.00	2.13	-2.34	0	La Silla Observatory
404	HD 158038	Radial Velocity	1	521.00000000	6.90000000	-6.90000000	0	114.15	10.20	-12.43	0	W. M. Keck Observatory
405	HD 158996	Radial Velocity	1	820.20000000	14.00000000	-14.00000000	0	294.10			0	Bohyunsan Optical Astronomy Observatory (BOAO)
406	HD 159243	Radial Velocity	2	12.62000000	0.00400000	-0.00400000	0	68.59	5.42	-6.43	0	Haute-Provence Observatory
407	HD 159243	Radial Velocity	2	248.40000000	4.90000000	-4.90000000	0	68.59	5.42	-6.43	0	Haute-Provence Observatory
408	HD 159868	Radial Velocity	2	1178.40002000	8.80000000	-8.80000000	0	52.72	2.82	-3.15	0	Anglo-Australian Telescope
409	HD 159868	Radial Velocity	2	352.30000000	1.30000000	-1.30000000	0	52.72	2.82	-3.15	0	Anglo-Australian Telescope
410	HD 1605	Radial Velocity	2	577.90002000	5.20000000	-5.20000000	0	84.60	6.11	-7.14	0	Multiple Observatories
411	HD 1605	Radial Velocity	2	2111.00000000	42.00000000	-32.00000000	0	84.60	6.11	-7.14	0	Multiple Observatories
412	HD 160691	Radial Velocity	4	643.25000000	0.90000000	-0.90000000	0	15.28	0.18	-0.19	0	Anglo-Australian Telescope
413	HD 160691	Radial Velocity	4	4205.80000000	758.90000000	-758.90000000	0	15.28	0.18	-0.19	0	Anglo-Australian Telescope
414	HD 160691	Radial Velocity	4	9.63860000	0.00150000	-0.00150000	0	15.28	0.18	-0.19	0	La Silla Observatory
415	HD 160691	Radial Velocity	4	310.55000000	0.83000000	-0.83000000	0	15.28	0.18	-0.19	0	La Silla Observatory
416	HD 16141	Radial Velocity	1	75.52300000	0.05500000	-0.05500000	0	35.91	1.71	-1.89	0	W. M. Keck Observatory
417	HD 16175	Radial Velocity	1	990.00000000	20.00000000	-20.00000000	0	59.84	3.28	-3.69	0	Lick Observatory
418	HD 162020	Radial Velocity	1	8.42820000	0.00005600	-0.00005600	0	31.26	1.38	-1.52	0	La Silla Observatory
419	HD 163607	Radial Velocity	2	75.29000000	0.02000000	-0.02000000	0	69.44	2.95	-3.23	0	W. M. Keck Observatory
420	HD 163607	Radial Velocity	2	1314.00000000	8.00000000	-8.00000000	0	69.44	2.95	-3.23	0	W. M. Keck Observatory
421	HD 16417	Radial Velocity	1	17.24000000	0.01000000	-0.01000000	0	25.54	0.41	-0.42	0	Anglo-Australian Telescope
422	HD 164509	Radial Velocity	1	282.40000000	3.80000000	-3.80000000	0	51.81	2.72	-3.04	0	W. M. Keck Observatory
423	HD 164595	Radial Velocity	1	40.00000000	0.24000000	-0.24000000	0	28.93	0.60	-0.62	0	Haute-Provence Observatory
424	HD 164604	Radial Velocity	1	606.40000000	9.00000000	-9.00000000	0	37.98	2.48	-2.85	0	Las Campanas Observatory
425	HD 164922	Radial Velocity	2	1155.00000000	23.00000000	-23.00000000	0	22.13	0.27	-0.27	0	W. M. Keck Observatory
426	HD 164922	Radial Velocity	2	75.76500000	0.05800000	-0.05600000	0	22.13	0.27	-0.27	0	Multiple Observatories
427	HD 165155	Radial Velocity	1	434.50000000	2.10000000	-2.10000000	0	64.98	7.26	-7.26	0	Multiple Observatories
428	HD 1666	Radial Velocity	1	270.00000000	0.80000000	-0.90000000	0	110.62	11.12	-13.91	0	Multiple Observatories
429	HD 166724	Radial Velocity	1	5144.00000000	705.00000000	-467.00000000	0	42.99	2.54	-2.88	0	La Silla Observatory
430	HD 167042	Radial Velocity	1	420.77000000	3.48000000	-3.11000000	0	50.00	1.24	-1.31	0	Lick Observatory
431	HD 168443	Radial Velocity	2	58.11247000	0.00030000	-0.00030000	0	37.88	1.18	-1.26	0	W. M. Keck Observatory
432	HD 168443	Radial Velocity	2	1749.83000000	0.57000000	-0.57000000	0	37.88	1.18	-1.26	0	W. M. Keck Observatory
433	HD 168746	Radial Velocity	1	6.40400000	0.00140000	-0.00140000	0	43.12	1.71	-1.86	0	La Silla Observatory
434	HD 1690	Radial Velocity	1	533.00000000	1.70000000	-1.70000000	0	7.01			-1	La Silla Observatory
435	HD 169830	Radial Velocity	2	225.62000000	0.22000000	-0.22000000	0	36.32	1.16	-1.24	0	La Silla Observatory
436	HD 169830	Radial Velocity	2	2102.00000000	264.00000000	-264.00000000	0	36.32	1.16	-1.24	0	La Silla Observatory
437	HD 170469	Radial Velocity	1	1145.00000000	18.00000000	-18.00000000	0	64.98	4.37	-5.05	0	W. M. Keck Observatory
438	HD 17092	Radial Velocity	1	359.89999000	2.40000000	-2.40000000	0					McDonald Observatory
439	HD 171028	Radial Velocity	1	550.00000000	3.00000000	-3.00000000	0	90.00			0	La Silla Observatory
440	HD 171238	Radial Velocity	1	1523.00000000	40.00000000	-45.00000000	0	44.05	2.33	-2.61	0	La Silla Observatory
441	HD 17156	Radial Velocity	1	21.21663000	0.00045000	-0.00045000	0	75.00			0	Subaru Telescope
442	HD 173416	Radial Velocity	1	323.60000000	2.20000000	-2.20000000	0	134.95	9.01	-10.40	0	Xinglong Station
